substation,tso,lat,lon,found
Alfstedt,TENNETGMBH,53.5499782,9.0666915,True
Algermissen,TENNETGMBH,52.2514068,9.9679044,True
Altbach,TRANSNETBW,48.7244372,9.3807848,True
Altdöbern,50HERTZ,51.6511561,14.0342532,True
Altenfeld,50HERTZ,50.5644442,10.9609733,True
Altenkleusheim,AMPRION GMBH,51.0069628,7.9239465,True
Altentreptow/Nord,50HERTZ,53.7039417,13.2511258,True
Altentreptow/Süd,50HERTZ,53.6917161,13.2599679,True
Altheim,TENNETGMBH,48.5808015,10.0271338,True
Altlussheim,TRANSNETBW,49.3004929,8.4981809,True
Amelsbueren,AMPRION GMBH,51.8833893,7.6059771,True
Arpe,AMPRION GMBH,51.184725,8.2022643,True
Aschaffenburg,TENNETGMBH,49.9706701,9.1384857,True
Asslar,TENNETGMBH,50.609245,8.447572,True
Audorf,TENNETGMBH,54.3132409,9.7185312,True
Audorf/S,TENNETGMBH,54.3132409,9.7185312,True
BASF,AMPRION GMBH,49.5528125,8.3516349,True
Bacharach,AMPRION GMBH,50.0597943,7.7683997,True
Bandstahl,AMPRION GMBH,51.3826075,7.5158846,True
Bauler,AMPRION GMBH,49.9650754,6.2068809,True
Bayer,AMPRION GMBH,50.9431344,13.6228032,True
Bechterdissen,TENNETGMBH,52.0067768,8.6507044,True
Benteler,AMPRION GMBH,52.0274663,8.5462031,True
Bentwisch,50HERTZ,54.1162169,12.2022371,True
Bergmannsglueck,AMPRION GMBH,52.4677605,13.7729365,True
Bergrheinfeld/W,TENNETGMBH,50.0082136,10.1810033,True
Bergshausen,TENNETGMBH,51.2684595,9.5007979,True
Bertikow,50HERTZ,53.2448338,13.9396783,True
Beuren,TRANSNETBW,49.7272641,6.9163463,True
Beznau,AMPRION GMBH,,,False
Birkenfeld,TRANSNETBW,49.6488236,7.1647477,True
Bischofsheim,AMPRION GMBH,50.4011137,10.0075314,True
Bixterheide,AMPRION GMBH,51.5000147,7.5128727,True
Blockland,TENNETGMBH,53.142216,8.800021,True
Bochum,AMPRION GMBH,51.4818111,7.2196635,True
Bocklemuend,AMPRION GMBH,50.9736355,6.8657478,True
Bollenacker,AMPRION GMBH,53.3679483,13.0627332,True
Borken,TENNETGMBH,51.8444777,6.8583277,True
Braunschweig/N,TENNETGMBH,52.2646577,10.5236066,True
Brauweiler,AMPRION GMBH,49.824504,7.498589,True
Brokdorf,TENNETGMBH,53.8650137,9.3181239,True
Bruchsal/Kaendelweg,TRANSNETBW,49.1326385,8.5572802,True
Brunsbuettel,TENNETGMBH,53.8972549,9.1395423,True
Brunsbüttel,50HERTZ,53.8972549,9.1395423,True
Buehl,TRANSNETBW,48.6945066,8.134423,True
Buenzwangen,TRANSNETBW,48.7035701,9.551447,True
Buers,TRANSNETBW,52.6736091,11.9849832,True
Buerstadt,AMPRION GMBH,49.6531823,8.4747076,True
Buescherhof,AMPRION GMBH,50.9091775,7.3263546,True
Buettel,TENNETGMBH,53.899972,9.2284119,True
