low_bus,ehv_bus,ehv_kv,s_nom_MVA,x_pu,r_pu,distance_km,pocket_n_buses,pocket_peak_flow_MW,pocket_gen_MW,pocket_peak_load_MW,from_classes
25378,13574,220,2000,0.12,0.005,26.52,224,2386.2,7983.2,2124.7,B
34194,10762,220,2000,0.12,0.005,31.18,182,1147.5,7759.9,2616.8,B
40118,4492,380,1200,0.12,0.005,8.54,12,747.0,963.7,61.5,B
40330,34790,380,900,0.12,0.005,4.8,20,643.2,1095.2,340.0,B
40071,12421,380,900,0.12,0.005,7.96,20,533.2,936.0,497.4,B
25946,34921,380,600,0.12,0.005,8.33,20,441.6,1086.9,166.6,A
28353,36643,380,2000,0.12,0.005,12.27,60,413.5,4133.9,842.9,B
10621,36301,380,600,0.12,0.005,1.26,2,382.5,10.6,5.6,A
20000,39223,380,900,0.12,0.005,21.48,15,362.6,1572.3,95.2,A
36206,39957,380,600,0.12,0.005,0.9,8,316.3,488.7,98.3,B
37579,36643,380,600,0.12,0.005,8.54,11,275.3,744.7,97.3,A
29791,189,380,600,0.12,0.005,9.89,12,274.5,728.4,81.4,A
30176,35370,380,600,0.12,0.005,22.47,7,272.1,590.6,82.7,A
28358,12874,380,600,0.12,0.005,25.2,15,266.6,1032.6,177.7,A
39527,13633,380,300,0.12,0.005,12.02,7,229.2,432.4,37.7,A
24323,9400,220,300,0.12,0.005,23.75,10,224.1,405.2,219.2,A
39095,38028,220,300,0.12,0.005,9.24,11,212.0,111.2,144.9,A
24944,37604,380,600,0.12,0.005,14.77,21,210.4,923.1,236.1,A
39697,38668,220,600,0.12,0.005,18.1,20,203.0,913.5,308.7,A
24471,37971,380,300,0.12,0.005,15.53,12,200.9,604.5,33.9,A
